,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
97271580954082, 8.543573, 0.30388847, 5.636294, -0.42074132, 0.07931185, 10.23081
97271590592728, 8.147561, -0.65084773, 5.218746, 0.54791766, 0.01835537, 9.681998
97271600231373, 8.520842, 0.567099, 5.7559347, -0.7013484, 0.01595831, 10.274482
97271609870019, 8.270791, -0.85902333, 5.322834, 0.7459365, -0.046967506, 9.844686
97271619508561, 8.449057, 0.54675996, 5.7080784, -0.6791283, 0.011937618, 10.188539
97271629147207, 8.3784685, -0.6891329, 5.4089756, 0.58847433, -0.017547607, 9.979181
97271638785853, 8.295917, 0.26919255, 5.6123657, -0.4030866, -0.035269737, 10.011475
97271648424498, 8.482556, -0.25842485, 5.6733823, 0.12128687, -0.09147215, 10.207092
97271658063144, 8.189436, -0.2105684, 5.4640107, 0.086564004, -0.06775808, 9.846548
97271667701790, 8.567501, 0.20219351, 5.729614, -0.32773322, 0.008501053, 10.30359
97271677340436, 8.169097, -0.6735796, 5.2941203, 0.57052237, -0.042304993, 9.741062
97271686979082, 8.544769, 0.51565325, 5.7990055, -0.6545483, -0.008758068, 10.318863
97271696617728, 8.240881, -0.8554341, 5.319245, 0.7509117, -0.06592226, 9.816825
97271706256373, 8.443074, 0.5419743, 5.68415, -0.6731825, 0.038907528, 10.170258
97271715895019, 8.35454, -0.71306115, 5.3180485, 0.62145656, 0.032508373, 9.909651
97271725533665, 8.281559, 0.33260235, 5.493921, -0.44043982, 0.06327915, 9.933783
97271735172207, 8.499306, -0.27158538, 5.503492, 0.16122001, 0.046283245, 10.127796
97271744810853, 8.193025, -0.12203395, 5.352744, 0.01697582, 0.032294273, 9.787292
97271754449498, 8.535198, 0.19980069, 5.5968122, -0.30931532, 0.0763545, 10.203546
97271764088144, 8.157132, -0.5922236, 5.188836, 0.50787675, 0.04420805, 9.672315
97271773726790, 8.543573, 0.51206404, 5.6997037, -0.62197596, 0.07897997, 10.263937
97271783365436, 8.23131, -0.8745767, 5.2570314, 0.7715334, -0.037271976, 9.775432
97271793004082, 8.452646, 0.5766702, 5.6733823, -0.69816494, 0.07419109, 10.172222
97271802642728, 8.338987, -0.73459655, 5.2953167, 0.65095973, 0.019447803, 9.884057
97271812281373, 8.315059, 0.34337005, 5.541777, -0.44941437, 0.052173615, 9.988228
97271821920019, 8.482556, -0.3505485, 5.548956, 0.24125671, -0.021030426, 10.139474
97271831558561, 8.228917, -0.059820566, 5.4520464, -0.054772675, -0.01268816, 9.871187
97271841197207, 8.586644, 0.18065812, 5.6877394, -0.29313827, 0.047039032, 10.296861
97271850835853, 8.160722, -0.56350976, 5.2905307, 0.46092927, -0.027879715, 9.730951
97271860474498, 8.534002, 0.51206404, 5.8061843, -0.6446711, -0.002611637, 10.314436
97271870113144, 8.191829, -0.7908279, 5.389833, 0.6677803, -0.13453197, 9.81416
97271879751790, 8.462217, 0.62093747, 5.828916, -0.76246476, -0.031747818, 10.265896
97271889390436, 8.347362, -0.74536425, 5.4125648, 0.649474, -0.0648942, 9.955091
97271899029082, 8.350951, 0.41635114, 5.6374903, -0.52552927, 0.011229038, 10.070586
97271908667728, 8.480164, -0.3493521, 5.581259, 0.23714638, -0.03652191, 10.155201
97271918306269, 8.200203, -0.03589234, 5.51426, -0.08122808, -0.067613125, 9.881321
97271927944915, 8.537591, 0.11006984, 5.727221, -0.22692901, -0.023928642, 10.278696
97271937583561, 8.1738825, -0.5383851, 5.332405, 0.43919694, -0.043751717, 9.764321
97271947222207, 8.565108, 0.44865423, 5.7810597, -0.5700072, 0.02561903, 10.327511
97271956860853, 8.209774, -0.85064846, 5.3300123, 0.7513746, -0.083393574, 9.795996
97271966499498, 8.507681, 0.56350976, 5.771488, -0.6782256, 0.03566456, 10.273605
97271976138144, 8.361719, -0.8255238, 5.304888, 0.7423848, 0.007171154, 9.909112
97271985776790, 8.355737, 0.38883367, 5.515456, -0.48175073, 0.11156607, 10.007261
97271995415436, 8.4347, -0.44985065, 5.3970113, 0.35353637, 0.056091785, 10.01729
97272005053978, 8.196614, 0.022731815, 5.3647084, -0.12720257, 0.056066513, 9.795191
97272014692623, 8.486146, 0.106480606, 5.532206, -0.20884132, 0.09327412, 10.128128
97272024331269, 8.090134, -0.4127619, 5.160122, 0.3253175, 0.07616949, 9.5987425
97272033969915, 8.516056, 0.5072784, 5.642276, -0.61006665, 0.09953213, 10.209492
97272043608561, 8.184649, -0.7680961, 5.2199426, 0.6737262, -0.010166168, 9.714538
97272053247207, 8.508878, 0.61734825, 5.7391853, -0.7279388, 0.03275633, 10.256189
97272062885853, 8.342576, -0.8135597, 5.3336015, 0.7169376, -0.0075531006, 9.909274
97272072524498, 8.374879, 0.4103691, 5.6709895, -0.52383685, -0.01341486, 10.109032
97272082163040, 8.46461, -0.5371887, 5.629115, 0.40633023, -0.13098621, 10.170687
97272091801686, 8.260024, 0.016749758, 5.6685967, -0.1512112, -0.15225744, 10.015749
97272101440332, 8.577073, -0.015553347, 5.8564334, -0.13035154, -0.13268805, 10.384106
97272111078978, 8.185846, -0.46301118, 5.460421, 0.34314704, -0.1181283, 9.844133
97272120717623, 8.584251, 0.40079778, 5.8480587, -0.5318208, -0.051644325, 10.380959
97272130356269, 8.199007, -0.782453, 5.369494, 0.6714409, -0.08012533, 9.808678
97272139994915, 8.507681, 0.5886344, 5.818148, -0.72138846, -0.036096573, 10.298362
97272149633561, 8.268398, -0.83030945, 5.298906, 0.7337656, 0.0069360733, 9.828316
97272159272103, 8.331808, 0.47377887, 5.535795, -0.56965613, 0.071519375, 9.997946
97272168910748, 8.427522, -0.485743, 5.3814583, 0.40299588, 0.06845236, 10.002604
97272178549394, 8.22772, 0.12801601, 5.4173503, -0.2325303, 0.04823351, 9.849013
97272188188040, 8.512466, -0.022731815, 5.5573306, -0.079804, 0.05995655, 10.16546
97272197826686, 8.142776, -0.3589234, 5.2199426, 0.2738399, 0.062366962, 9.674841
97272207465228, 8.536395, 0.40438703, 5.608776, -0.50386226, 0.115270615, 10.209054
97272217103873, 8.146365, -0.7477571, 5.186443, 0.66798425, 0.003419876, 9.663094
97272226742519, 8.492127, 0.613759, 5.7080784, -0.7199206, 0.06018591, 10.225124
97272236381165, 8.298309, -0.8279166, 5.267799, 0.75125796, 0.010000706, 9.835274
97272246019811, 8.389236, 0.49651068, 5.599205, -0.594718, 0.053987026, 10.08069
