-0.23330021, 3.5521452, 9.314062, 0.070417166, 0.027342156, 9.970867
774743136457106, -0.12083755, 3.2817562, 9.437292, 0.3430035, 0.21444368, 9.984158
774743146097627, -0.32303107, 3.6729827, 9.5665045, 0.06530285, -0.040902376, 10.252182
774743155738148, -0.14476576, 3.702893, 9.397811, -0.052809715, 0.11513585, 10.101248
774743165378773, -0.45583272, 3.1537402, 9.318848, 0.4758408, -0.12023264, 9.836356
774743175019294, -0.15553348, 4.1347976, 9.343972, -0.4649794, 0.03647268, 10.208479
774743184659815, -0.4354937, 2.87378, 9.132208, 0.6589985, -0.08452618, 9.560548
774743194300335, -0.15553348, 4.3740797, 9.375079, -0.68363047, 0.0089280605, 10.323828
774743203940856, -0.33379877, 2.932404, 9.144172, 0.5915506, -6.417632E-4, 9.590431
774743213581377, -0.25004998, 4.2257247, 9.450453, -0.49573922, -0.03716916, 10.343268
774743223221898, -0.22013968, 3.2566316, 9.199206, 0.30718565, 0.074688494, 9.756002
774743232862419, -0.35533416, 3.8117664, 9.347562, -0.13951969, -0.10994178, 10.099564
774743242502940, -0.12203395, 3.7734814, 9.182457, -0.19401002, 0.113684, 9.9257765
774743252143460, -0.41635114, 3.2614172, 9.145369, 0.30805779, -0.12188637, 9.712785
774743261783981, -0.09212367, 4.168297, 9.194421, -0.5547497, 0.10702014, 10.079751
774743271424502, -0.42831525, 2.9180472, 9.037691, 0.5864816, -0.11258668, 9.487975
774743281065023, -0.1591227, 4.375276, 9.32124, -0.69380426, 0.05041474, 10.274725
774743290705544, -0.3696911, 2.8677979, 9.110672, 0.65002346, -0.049519777, 9.5362625
774743300346065, -0.27517462, 4.2388854, 9.407382, -0.52786946, -0.042725325, 10.308357
774743309986585, -0.2428715, 3.2004004, 9.201599, 0.36902857, 0.046765357, 9.738205
774743319627210, -0.3182454, 3.8273199, 9.41456, -0.13713598, -0.055759966, 10.166695
774743329267731, -0.1268196, 3.6729827, 9.2997055, -0.04608488, 0.13993579, 9.9984865
774743338908252, -0.39601216, 3.3116665, 9.29492, 0.30673718, -0.10906443, 9.86983
774743348548773, -0.08255238, 4.1036906, 9.369097, -0.4299183, 0.16281489, 10.218402
774743358189294, -0.42951167, 2.894119, 9.239884, 0.6753962, -0.109894514, 9.667866
774743367829815, -0.20817557, 4.302295, 9.434899, -0.5851548, 0.024291456, 10.355067
774743377470335, -0.4319045, 2.8187451, 9.15494, 0.7114868, -0.11220926, 9.561693
774743387110856, -0.27038896, 4.287938, 9.352347, -0.5842018, -0.053959787, 10.275295
774743396751377, -0.26081768, 3.1561332, 9.080762, 0.3564167, 0.037147284, 9.610464
774743406391898, -0.32303107, 3.9397824, 9.287741, -0.278661, -0.07938415, 10.089818
774743416032419, -0.10887343, 3.6849468, 9.150154, -0.11758566, 0.14667964, 9.863097
774743425672940, -0.3385844, 3.4492538, 9.218349, 0.15071988, -0.061614573, 9.847003
774743435313460, -0.05742774, 4.130012, 9.32124, -0.4715848, 0.17577335, 10.182953
774743444953981, -0.4223332, 2.9682965, 9.267402, 0.619817, -0.107862234, 9.719984
774743454594502, -0.15792629, 4.338187, 9.486345, -0.6006894, 0.059663594, 10.414948
774743464235023, -0.41515473, 2.8175488, 9.169296, 0.7342253, -0.07553631, 9.572989
774743473875544, -0.23449662, 4.2556353, 9.382257, -0.5417447, -0.026946068, 10.290673
774743483516065, -0.2321038, 3.0652058, 9.110672, 0.4616201, 0.07763928, 9.603884
774743493156585, -0.2943172, 3.9613178, 9.334401, -0.27893448, -0.065132916, 10.140396
774743502797106, -0.15314065, 3.5796626, 9.183653, -0.0014443398, 0.10750508, 9.85725
774743512437627, -0.38285163, 3.487539, 9.256635, 0.13820553, -0.10811043, 9.897677
774743522078148, -0.09212367, 4.0965123, 9.3511505, -0.42472076, 0.12937552, 10.199843
774743531718669, -0.4031906, 3.089134, 9.286545, 0.51711965, -0.09107995, 9.781078
